env_steps,return,length,success,train/return,train/length,train/success,bisim_critic_loss,bisim_loss,critic_loss,FPS
0,0.0,324.0,0.0,,,,,,,
10000,0.0,324.0,0.0,0.0,333.3333,0.0,-0.0046,0.0019,0.0005,100.5009
20000,0.0,324.0,0.0,0.0,322.5806,0.0,-0.0149,0.0001,0.0,122.2173
30000,0.0,324.0,0.0,0.0133,322.5806,0.0323,-0.0169,0.0001,0.0,107.2323
40000,0.0,324.0,0.0,0.0958,294.1176,0.2647,-0.0158,0.0001,0.0,104.6999
50000,0.0,324.0,0.0,0.027,322.5806,0.0645,-0.0154,0.0001,0.0,105.1648
60000,0.0,324.0,0.0,0.0432,303.0303,0.0909,-0.0148,0.0001,0.0001,105.2238
70000,0.0,324.0,0.0,0.0388,322.5806,0.0968,-0.0146,0.0001,0.0002,104.7137
80000,0.0,324.0,0.0,0.0417,312.5,0.125,-0.0143,0.0001,0.0002,105.1977
90000,0.0,324.0,0.0,0.0587,303.0303,0.1212,-0.0134,0.0001,0.0002,105.6442
100000,0.0,324.0,0.0,0.1264,294.1176,0.3235,-0.0134,0.0001,0.0003,103.712
110000,0.0,324.0,0.0,0.2419,250.0,0.475,-0.0128,0.0002,0.0003,104.1349
120000,0.0,324.0,0.0,0.2456,250.0,0.425,-0.0124,0.0003,0.0005,104.1078
130000,0.0942,293.7,0.1,0.3384,227.2727,0.6364,-0.0122,0.0002,0.0007,104.2567
140000,0.6428,117.8,0.7,0.4857,175.4386,0.7544,-0.0119,0.0004,0.0009,103.7985
150000,0.2872,231.4,0.3,0.542,158.7302,0.8571,-0.0112,0.0007,0.0013,101.6522
160000,0.4775,170.1,0.5,0.6139,135.1351,0.8919,-0.0113,0.001,0.0015,101.6188
170000,0.3817,201.0,0.4,0.6696,117.6471,0.9412,-0.0113,0.0014,0.0017,100.683
180000,0.6589,112.0,0.7,0.7186,99.0099,0.9604,-0.0115,0.0019,0.002,99.8157
190000,0.7583,79.8,0.8,0.705,105.2632,0.9579,-0.0118,0.0023,0.0022,99.7095
