env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-74.1996,693.1,,,,,,,,,,,,,,
61,,,61,-105.7295,14.6598,,,,,,,,,,,
130,,,69,-117.8665,15.3031,,,,,,,,,,,
178,,,48,-117.3518,15.1608,,,,,,,,,,,
317,,,139,-123.5313,15.5681,,,,,,,,,,,
443,,,126,-115.5421,15.7345,,,,,,,,,,,
492,,,49,-120.3037,15.2856,,,,,,,,,,,
500,,,,,,50,2,1,688.0523,2.713,1.9403,0.8413,-3.6054,6.9017,16.5944,0.0464
559,,,67,-116.725,16.1921,,,,,,,,,,,
633,,,74,-120.8918,15.7428,,,,,,,,,,,
719,,,86,-118.5218,15.1856,,,,,,,,,,,
829,,,110,-124.0079,15.2501,,,,,,,,,,,
876,,,47,-116.341,16.1264,,,,,,,,,,,
924,,,48,-116.5376,16.4146,,,,,,,,,,,
966,,,42,-115.0153,15.7203,,,,,,,,,,,
1000,,,,,,31,2,1,1329.1421,37.9501,15.043,35.6239,-8.2778,3.6327,11.3376,0.0
1010,,,44,-114.8553,15.314,,,,,,,,,,,
1060,,,50,-117.2937,15.1755,,,,,,,,,,,
1126,,,66,-116.7516,15.2285,,,,,,,,,,,
1227,,,101,-116.3362,15.2742,,,,,,,,,,,
1296,,,69,-113.1174,15.2488,,,,,,,,,,,
1387,,,91,-117.1272,15.1937,,,,,,,,,,,
1463,,,76,-112.6895,15.2791,,,,,,,,,,,
1500,,,,,,7,2,1,2145.7332,103.4271,82.3512,100.6212,-8.497,19.6521,10.8776,0.0
1550,,,87,-116.2707,15.1498,,,,,,,,,,,
1664,,,114,-116.656,15.2568,,,,,,,,,,,
1750,,,86,-115.8864,15.2373,,,,,,,,,,,
1855,,,105,-112.9955,15.189,,,,,,,,,,,
1959,,,104,-114.9268,15.3469,,,,,,,,,,,
2000,,,,,,4,3,1,2550.6562,83.5245,58.8403,80.2725,-7.8868,38.3694,138.4405,0.1083
2500,,,,,,5,3,1,2817.3708,106.4514,106.1616,102.6244,-7.9431,37.8864,260.2251,0.0201
3000,,,,,,5,3,1,2782.4097,137.9573,27.8004,133.4079,-5.8642,1.7199,131.4975,0.0
3500,,,,,,5,3,1,2802.0928,82.9757,58.3112,77.5467,-4.4284,18.847,638.377,0.0
3559,,,1600,-118.4292,15.2548,,,,,,,,,,,
4000,,,,,,6,3,1,2782.4724,116.9436,25.3073,110.7804,-5.9223,1.2283,199.4088,0.0412
4500,,,,,,6,2,1,2768.1343,29.7478,31.4635,24.6227,-3.2937,3.3623,281.899,0.0035
