env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-43.6449,1000.0,,,,,,,,,,
500,,,80.5837,8058.543,28674.3125,80.5837,0.2239,2.7827,0.0003,,,
1000,,,158.2285,15823.8525,59065.6289,158.2285,0.2592,1.2699,0.0139,,,
1000,,,,,,,,,,1000,-327.5497,61.9857
1500,,,216.9083,21692.7617,61276.0117,216.9083,0.2779,1.0209,0.0415,,,
2000,,,309.0672,30909.2422,90832.5625,309.0672,0.3801,3.429,0.0111,,,
2000,,,,,,,,,,1000,-296.0222,88.2463
2500,,,367.1061,36714.1641,129971.7578,367.1061,0.476,6.0996,0.0393,,,
3000,,,408.039,40808.2578,186047.5,408.039,0.4832,3.5514,0.0657,,,
3000,,,,,,,,,,1000,-335.8757,82.7649
3500,,,440.8768,44090.5742,215981.0625,440.8768,0.5626,3.3266,0.1641,,,
4000,,,491.2912,49131.2539,248677.2812,491.2912,0.5531,8.7661,0.2188,,,
4000,,,,,,,,,,1000,-431.4211,80.2281
4500,,,467.4926,46749.832,339837.3125,467.4926,0.6112,6.0799,0.387,,,
5000,,,496.5315,49652.7266,353886.2812,496.5315,0.6293,9.3405,0.286,,,
5000,765.5221,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,453.9825,61.8557
5500,,,525.0526,52503.0273,315391.75,525.0526,0.614,9.9131,0.6756,,,
6000,,,530.9413,53090.1211,459384.7188,530.9413,0.6748,8.8367,0.5127,,,
6000,,,,,,,,,,1000,502.827,77.4619
6500,,,513.7488,51368.668,506305.5312,513.7488,0.691,12.4689,0.9933,,,
7000,,,523.7244,52364.5977,425258.5,523.7244,0.735,23.2706,0.6366,,,
7000,,,,,,,,,,1000,751.502,79.4446
7500,,,558.4457,55834.5586,476743.0,558.4457,0.8499,26.0178,0.5312,,,
8000,,,558.0638,55794.6602,557538.125,558.0638,0.6987,14.7926,0.8324,,,
8000,,,,,,,,,,1000,328.7662,78.143
8500,,,557.3214,55718.1953,580443.125,557.3214,0.8722,27.8986,0.6755,,,
9000,,,636.5807,63642.6992,642629.6875,636.5807,0.9012,24.3985,1.4838,,,
9000,,,,,,,,,,1000,451.8611,76.7799
9500,,,619.0526,61887.8359,751858.125,619.0526,0.936,23.1434,1.7607,,,
10000,,,585.7274,58553.082,843466.0625,585.7274,1.001,24.4413,0.9899,,,
10000,2157.5418,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,1079.4098,61.5858
10500,,,620.201,61996.6289,930134.875,620.201,1.0893,18.8193,1.1668,,,
11000,,,588.5212,58825.4688,763096.6875,588.5212,1.2191,26.946,1.1852,,,
11000,,,,,,,,,,1000,1158.7062,78.6183
11500,,,579.0989,57880.1953,700636.1875,579.0989,1.2193,30.3098,1.0358,,,
12000,,,606.8616,60654.7695,960118.5,606.8616,1.2339,23.3621,1.3101,,,
12000,,,,,,,,,,1000,1342.9063,77.9665
12500,,,582.4982,58215.707,798195.25,582.4982,1.3859,31.8806,1.6229,,,
13000,,,644.5906,64421.1758,1086132.375,644.5906,1.4107,59.2614,1.926,,,
13000,,,,,,,,,,1000,1536.1185,77.0583
13500,,,623.0652,62265.5195,1004458.1875,623.0652,1.4685,34.8697,1.3936,,,
14000,,,627.023,62657.2383,1012202.3125,627.023,1.6856,62.0937,1.8317,,,
14000,,,,,,,,,,1000,1510.1739,79.0578
14500,,,570.9562,57047.4023,966558.25,570.9562,1.6414,39.1366,1.5023,,,
15000,,,584.7177,58419.7344,837463.25,584.7177,1.5661,51.4923,1.8543,,,
15000,3518.5485,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,1583.0971,63.7377
15500,,,606.6235,60607.6211,978693.375,606.6235,1.7735,35.5196,2.0357,,,
16000,,,604.5497,60395.0273,931661.9375,604.5497,1.993,124.6092,1.6662,,,
16000,,,,,,,,,,1000,1803.3604,78.2364
16500,,,592.6444,59201.3164,1130131.5,592.6444,2.0978,59.4723,2.3221,,,
17000,,,586.4364,58575.9023,892576.0625,586.4364,2.202,55.5024,1.5232,,,
17000,,,,,,,,,,1000,2104.5566,77.4875
17500,,,565.6356,56492.668,1059162.875,565.6356,2.2965,53.3042,3.0423,,,
18000,,,628.6457,62790.0781,945942.125,628.6457,2.3478,89.5996,2.7053,,,
18000,,,,,,,,,,1000,1168.6619,77.9045
18500,,,658.9645,65817.6172,1083963.375,658.9645,2.3148,51.0489,2.9804,,,
19000,,,578.5952,57776.1641,848656.5,578.5952,2.7958,79.3384,2.9361,,,
19000,,,,,,,,,,1000,1991.1485,77.7185
19500,,,618.8976,61801.7656,1654414.75,618.8976,2.5066,118.2973,2.1308,,,
20000,,,561.2722,56034.6484,1170807.875,561.2722,2.6103,60.1519,2.7792,,,
20000,4167.0589,1000.0,,,,,,,,,,
20000,,,,,,,,,,1000,2278.7187,61.817
20500,,,581.9546,58098.1094,1146767.125,581.9546,2.9068,63.644,3.5799,,,
21000,,,564.2609,56326.5469,1067548.125,564.2609,2.736,69.1301,3.7523,,,
21000,,,,,,,,,,1000,2318.2364,77.4279
